"novelid","utterances.inconvos","totalwords.spoken.inconvos","uttlength.avg","totalwords.inconvos","pctutt.attributed","totalspeakers","totalverbs","pctutt.gerunds","gini_words","gini_utts","words.spoken.female","words.spoken.male","pctwords.female","utts.spoken.female","utts.spoken.male","pctutts.female","uttlength.avg.female","uttlength.avg.male","malechars","femchars","othchars","row","filename","author_gut","title_gut","file.length","lastline","title","ingutenberg","indataset","lastname","firstname","date","author_gender","oxford","broadview","norton","penguin","canon1","canon2","canon3","person","startline"
"austen1811",1018,49494,48.6188605108055,68176,NA,20,NA,12.770137524558,51.9242736493312,55.8349705304519,32083,17402,64.8337880165707,743,272,73.2019704433498,43.1803499327052,63.9779411764706,8,11,0,47,"pg161.txt","Jane Austen","Sense and Sensibility",13027,12669,"Sense and Sensibility",1,1,"Austen","Jane","1811","f",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"third",43
"austen1813",1231,47227,38.3647441104793,70690,43.5418359057677,29,29,7.96100731112916,68.6502387953121,68.730216532676,31863,15261,67.6152279093456,844,382,68.8417618270799,37.7523696682464,39.9502617801047,11,16,0,46,"pg1342.txt","Jane Austen","Pride and Prejudice",13426,13068,"Pride And Prejudice",1,1,"Austen","Jane","1813","f",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"third",37
"austen1814",1078,57738,53.5602968460111,96698,NA,24,NA,26.9944341372913,65.9546861108225,64.4135802469136,27159,29482,47.9493653007539,575,484,54.2965061378659,47.315331010453,60.9132231404959,11,10,0,43,"pg141.txt","Jane Austen","Mansfield Park",15745,15387,"Mansfield Park",1,1,"Austen","Jane","1814","f",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"third",40
"austen1815",1466,75430,51.4529331514325,105554,0.0682128240109141,19,1,13.0286493860846,59.8884989219702,61.5078236130868,48375,26797,64.3524184536796,913,556,62.1511232130701,53.335170893054,48.370036101083,6,10,0,42,"pg158.txt","Jane Austen","Emma",16631,16273,"Emma",1,1,"Austen","Jane","1815","f",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"third",41
"austen1817a",461,26425,57.3210412147505,42871,NA,22,NA,21.0412147505423,49.3226111636708,52.71546635183,16440,8671,65.4693162359125,292,143,67.1264367816092,56.3013698630137,61.0633802816901,8,12,0,45,"pg105.txt","Jane Austen","Persuasion",8734,8374,"Persuasion",1,1,"Austen","Jane","1817","f",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"third",48
"austen1817b",795,28428,35.7584905660377,55653,NA,17,NA,22.3899371069182,63.3865534394425,68.9181200118238,16447,10888,60.1682824218035,531,251,67.9028132992327,30.9736346516008,43.3784860557769,6,10,0,44,"pg121.txt","Jane Austen","Northanger Abbey",8252,7894,"Northanger Abbey",1,1,"Austen","Jane","1817","f",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"third",57
"bronte1847b",2851,76948,26.9898281304805,127034,30.9014380918976,72,81,10.3121711680112,88.3900671737913,86.3470519556334,35610,41085,46.4306669274399,1674,1163,59.0059922453296,21.2851165570831,35.3875968992248,23,44,0,169,"pg1260.txt","Charlotte Bronte","Jane Eyre",21062,20704,"Jane Eyre",1,1,"Bronte","Charlotte","1847","f",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"first",186
"bronte1847c",1334,51584,38.6686656671664,92477,81.2593703148426,24,94,25.9370314842579,70.821540270885,68.173626646781,30621,20908,59.4247899241204,805,535,60.0746268656716,38.0858208955224,39.523629489603,13,12,1,174,"pg768.txt","Emily Bronte","Wuthering Heights",12486,12128,"Wuthering Heights",1,1,"Bronte","Emily","1847","f",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"first",43
"bronte1853",1951,43922,22.5125576627371,107673,40.6458226550487,36,94,15.3767298821117,82.6151409822463,83.1056466302368,25711,18180,58.5792075824201,1227,721,62.9876796714579,20.9543602281989,25.2149791955617,14,19,0,173,"pg9182.txt","Charlotte Brontë","Villette",21716,21358,"Villette",1,1,"Bronte","Charlotte","1853","f",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"first",45
"conandoyle1887",600,21314,35.5233333333333,32309,60.8333333333333,33,30,18,81.4166815949682,74.8383838383838,474,20760,2.23226900254309,29,563,4.89864864864865,16.3448275862069,36.8738898756661,28,1,0,301,"pg244.txt","Arthur Conan Doyle","A Study In Scarlet",5155,4797,"A Study in Scarlet",1,1,"Conan Doyle","Arthur","1887","m",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"first",69
